date,close,pe_pct,ppi_raw,turnover_zscore,s_pe,s_ppi,s_turnover,total_score,signal
2002-01-31,1221.76,,-4.0,,,1,,,数据不足
2002-02-28,1244.6,,-4.0,,,1,,,数据不足
2002-03-31,1313.47,,-4.1,,,1,,,数据不足
2002-04-30,1353.61,,-4.0,,,1,,,数据不足
2002-05-31,1238.58,,-3.1,,,1,,,数据不足
2002-06-30,1431.18,,-2.6,,,1,,,数据不足
2002-07-31,1358.16,,-2.5,,,1,,,数据不足
2002-08-31,1361.3,,-2.3,,,1,,,数据不足
2002-09-30,1285.65,,-1.7,,,1,,,数据不足
2002-10-31,1225.34,,-1.4,,,1,,,数据不足
2002-11-30,1164.62,,-1.0,,,0,,,数据不足
2002-12-31,1103.64,,-0.4,,,0,,,数据不足
2003-01-31,1207.6,,0.4,,,0,,,数据不足
2003-02-28,1213.86,,2.4,,,0,,,数据不足
2003-03-31,1215.17,,4.0,,,-1,,,数据不足
2003-04-30,1239.95,,4.6,,,-1,,,数据不足
2003-05-31,1300.87,,3.6,,,-1,,,数据不足
2003-06-30,1214.55,,2.0,,,0,,,数据不足
2003-07-31,1222.74,,1.3,,,0,,,数据不足
2003-08-31,1178.57,,1.4,,,0,,,数据不足
2003-09-30,1127.14,,1.4,,,0,,,数据不足
2003-10-31,1111.62,,1.4,,,0,,,数据不足
2003-11-30,1142.98,,1.2,,,0,,,数据不足
2003-12-31,1194.74,,1.9,,,0,,,数据不足
2004-01-31,1281.33,,3.0,,,0,,,数据不足
2004-02-29,1351.61,,3.5,,,-1,,,数据不足
2004-03-31,1384.95,,3.5,,,-1,,,数据不足
2004-04-30,1239.72,,4.0,,,-1,,,数据不足
2004-05-31,1206.84,,5.0,,,-1,,,数据不足
2004-06-30,1078.49,,5.7,,,-1,,,数据不足
2004-07-31,1088.68,,6.4,,,-1,,,数据不足
2004-08-31,1055.97,,6.4,,,-1,,,数据不足
2004-09-30,1109.32,,6.8,,,-1,,,数据不足
2004-10-31,1050.3,,8.0,,,-1,,,数据不足
2004-11-30,1062.81,,8.4,,,-1,,,数据不足
2004-12-31,1000.0,,8.1,,,-1,,,数据不足
2005-01-31,954.88,,7.1,,,-1,,,数据不足
2005-02-28,1039.99,,5.8,,,-1,,,数据不足
2005-03-31,942.2,,5.4,,,-1,,,数据不足
2005-04-30,932.4,,5.6,,,-1,,,数据不足
2005-05-31,855.95,,5.8,,,-1,,,数据不足
2005-06-30,878.69,,6.0,,,-1,,,数据不足
2005-07-31,888.16,,5.2,,,-1,,,数据不足
2005-08-31,927.92,,5.2,,,-1,,,数据不足
2005-09-30,917.39,,5.3,,,-1,,,数据不足
2005-10-31,876.28,,4.5,,,-1,,,数据不足
2005-11-30,873.83,,4.0,-0.31139277039578633,,-1,0.0,,数据不足
2005-12-31,923.45,,3.2,-0.2261329949077251,,-1,0.0,,数据不足
2006-01-31,1009.6,,3.2,1.2244539396035954,,-1,-1.0,,数据不足
2006-02-28,1053.01,,3.0,1.255037751578414,,0,-1.0,,数据不足
2006-03-31,1061.09,,3.0,1.3286569483883397,,0,-1.0,,数据不足
2006-04-30,1172.35,,2.5,2.5541311245117075,,0,-1.0,,数据不足
2006-05-31,1365.45,,1.9,2.6364576552481673,,0,-1.0,,数据不足
2006-06-30,1393.96,,2.4,1.3751437288361876,,0,-1.0,,数据不足
2006-07-31,1294.33,,3.5,0.7565748847783383,,-1,0.0,,数据不足
2006-08-31,1338.69,,3.6,-0.1226752018079061,,-1,0.0,,数据不足
2006-09-30,1403.27,,3.4,0.2254490314327494,,-1,0.0,,数据不足
2006-10-31,1464.47,,3.5,0.16982593518015127,,-1,0.0,,数据不足
2006-11-30,1714.36,,3.0,1.8185128338286345,,0,-1.0,,数据不足
2006-12-31,2041.05,,2.8,2.310468516094029,,0,-1.0,,数据不足
2007-01-31,2385.34,,3.1,2.6404422090828983,,-1,-1.0,,数据不足
2007-02-28,2544.57,,3.3,1.0006730633715637,,-1,0.0,,数据不足
2007-03-31,2781.78,,2.6,1.9826372367566438,,0,-1.0,,数据不足
2007-04-30,3558.71,,2.7,2.393012852303634,,0,-1.0,,数据不足
2007-05-31,3927.95,,2.9,2.0653286656118635,,0,-1.0,,数据不足
2007-06-30,3764.08,,2.8,1.5577887455908688,,0,-1.0,,数据不足
2007-07-31,4460.56,,2.5,0.38731010336065264,,0,0.0,,数据不足
2007-08-31,5296.81,,2.4,1.4140053995785222,,0,-1.0,,数据不足
2007-09-30,5580.81,,2.6,0.6960347672559755,,0,0.0,,数据不足
2007-10-31,5688.54,,2.7,0.09811577529669856,,0,0.0,,数据不足
2007-11-30,4737.41,,3.2,-0.7571617529548287,,-1,0.0,,数据不足
2007-12-31,5338.28,,4.6,-0.839232983576019,,-1,1.0,,数据不足
2008-01-31,4620.4,1.0,5.4,0.5394726495643929,-1.0,-1,0.0,-2.0,强烈卖出
2008-02-29,4674.55,0.5,6.1,-1.6397960680512993,0.0,-1,1.0,0.0,不操作
2008-03-31,3790.53,0.3333333333333333,6.6,-1.046162964993138,0.0,-1,1.0,0.0,不操作
2008-04-30,3959.12,0.5,8.0,-0.7289907460863209,0.0,-1,0.0,-1.0,卖出
2008-05-31,3611.33,0.2,8.1,-0.6988687424265148,1.0,-1,0.0,0.0,不操作
2008-06-30,2791.82,0.16666666666666666,8.2,-1.367045661113555,1.0,-1,1.0,1.0,买入
2008-07-31,2805.21,0.2857142857142857,8.8,-0.7530692101987368,1.0,-1,0.0,0.0,不操作
2008-08-31,2391.64,0.125,10.0,-1.5477816589433155,1.0,-1,1.0,1.0,买入
2008-09-30,2243.66,0.2222222222222222,10.1,-1.2508079642472587,1.0,-1,1.0,1.0,买入
2008-10-31,1663.66,0.1,9.1,-1.0921218970678606,1.0,-1,1.0,1.0,买入
2008-11-30,1829.92,0.18181818181818182,6.6,-0.4183488424714371,1.0,-1,0.0,0.0,不操作
2008-12-31,1817.72,0.16666666666666666,2.0,0.05870113866227358,1.0,0,0.0,1.0,买入
2009-01-31,2032.68,0.3076923076923077,-1.1,-0.6480072617856953,0.0,1,0.0,1.0,买入
2009-02-28,2140.49,0.35714285714285715,-3.3,2.28527903504585,0.0,1,-1.0,0.0,不操作
2009-03-31,2507.79,0.5333333333333333,-4.5,1.6875649357012876,0.0,1,-1.0,0.0,不操作
2009-04-30,2622.93,0.5625,-6.0,1.7869841425396638,0.0,1,-1.0,0.0,不操作
2009-05-31,2759.71,0.7058823529411765,-6.6,0.9437360192783993,-1.0,1,0.0,0.0,不操作
2009-06-30,3166.47,0.7222222222222222,-7.2,1.564201050437046,-1.0,1,-1.0,-1.0,卖出
2009-07-31,3734.62,0.7894736842105263,-7.8,2.2183647007563865,-1.0,1,-1.0,-1.0,卖出
2009-08-31,2830.27,0.65,-8.2,0.9333657442019841,0.0,1,0.0,1.0,买入
2009-09-30,3004.81,0.6666666666666666,-7.9,0.25810290160950883,0.0,1,0.0,1.0,买入
2009-10-31,3280.37,0.7727272727272727,-7.0,-0.5723119199177862,-1.0,1,0.0,0.0,不操作
2009-11-30,3511.67,0.782608695652174,-5.8,0.7018532745407229,-1.0,1,0.0,0.0,不操作
2009-12-31,3575.68,0.7916666666666666,-2.1,0.08736226224074949,-1.0,1,0.0,0.0,不操作
2010-01-31,3204.16,0.72,1.7,-0.395462719368521,-1.0,0,0.0,-1.0,卖出
2010-02-28,3281.67,0.7307692307692307,4.3,-1.849760187422647,-1.0,-1,1.0,-1.0,卖出
2010-03-31,3345.61,0.7407407407407407,5.4,-0.9353300663611649,-1.0,-1,1.0,-1.0,卖出
2010-04-30,3067.37,0.5714285714285714,5.9,-0.4422531581770259,0.0,-1,0.0,-1.0,卖出
2010-05-31,2773.26,0.3103448275862069,6.8,-1.056569142655087,0.0,-1,1.0,0.0,不操作
2010-06-30,2563.07,0.23333333333333334,7.1,-1.3232109976223285,1.0,-1,1.0,1.0,买入
2010-07-31,2868.85,0.3225806451612903,6.4,-0.8705839039024819,0.0,-1,1.0,0.0,不操作
2010-08-31,2903.19,0.328125,4.8,-0.1122022403369974,0.0,-1,0.0,-1.0,卖出
2010-09-30,2935.57,0.3939393939393939,4.3,-0.15931228156982513,0.0,-1,0.0,-1.0,卖出
2010-10-31,3379.98,0.5294117647058824,4.3,1.9133424527489784,0.0,-1,-1.0,-2.0,强烈卖出
2010-11-30,3136.99,0.4857142857142857,5.0,1.9134642873254726,0.0,-1,-1.0,-2.0,强烈卖出
2010-12-31,3128.26,0.5,6.1,0.2969330919644811,0.0,-1,0.0,-1.0,卖出
2011-01-31,3076.51,0.5135135135135135,5.9,-0.1387417645509534,0.0,-1,0.0,-1.0,卖出
2011-02-28,3239.56,0.5526315789473685,6.6,-0.23367799770314518,0.0,-1,0.0,-1.0,卖出
2011-03-31,3223.29,0.5897435897435898,7.2,0.9329911914361597,0.0,-1,0.0,-1.0,卖出
2011-04-30,3192.72,0.575,7.3,0.018582484976301057,0.0,-1,0.0,-1.0,卖出
2011-05-31,3001.56,0.12195121951219512,6.8,-0.9108650514556801,1.0,-1,1.0,1.0,买入
2011-06-30,3044.09,0.14285714285714285,6.8,-0.9805145226464212,1.0,-1,1.0,1.0,买入
2011-07-31,2972.08,0.09302325581395349,7.1,-0.679387093997215,1.0,-1,0.0,0.0,不操作
2011-08-31,2846.78,0.09090909090909091,7.5,-0.9223593628156829,1.0,-1,1.0,1.0,买入
2011-09-30,2581.35,0.044444444444444446,7.3,-1.3782824929482589,1.0,-1,1.0,1.0,买入
2011-10-31,2695.31,0.08695652173913043,6.5,-1.2077090367558005,1.0,-1,1.0,1.0,买入
2011-11-30,2521.52,0.0425531914893617,5.0,-0.8227543704422863,1.0,-1,1.0,1.0,买入
2011-12-31,2345.74,0.020833333333333332,2.7,-1.206364486722613,1.0,0,1.0,2.0,强烈买入
2012-01-31,2464.26,0.04081632653061224,1.7,-0.9309234015819874,1.0,0,1.0,2.0,强烈买入
2012-02-29,2634.14,0.14,0.7,0.031160821580961152,1.0,0,0.0,1.0,买入
2012-03-31,2454.9,0.0392156862745098,0.0,0.6677155084309817,1.0,0,0.0,1.0,买入
2012-04-30,2626.16,0.1346153846153846,-0.3,-0.4457934920299065,1.0,0,0.0,1.0,买入
2012-05-31,2632.04,0.018867924528301886,-0.7,0.8690673019491464,1.0,0,0.0,1.0,买入
2012-06-30,2461.61,0.018518518518518517,-1.4,-0.6248441848633137,1.0,1,0.0,2.0,强烈买入
2012-07-31,2332.92,0.01818181818181818,-2.1,-0.36867935181371364,1.0,1,0.0,2.0,强烈买入
2012-08-31,2204.87,0.017857142857142856,-2.9,-0.651143637982053,1.0,1,0.0,2.0,强烈买入
2012-09-30,2293.11,0.03508771929824561,-3.5,-0.5315504991602173,1.0,1,0.0,2.0,强烈买入
2012-10-31,2254.82,0.034482758620689655,-3.6,-1.3038378387447698,1.0,1,1.0,3.0,强烈买入
2012-11-30,2139.66,0.01694915254237288,-2.8,-1.0885749185750322,1.0,1,1.0,3.0,强烈买入
2012-12-31,2522.95,0.11666666666666667,-2.2,1.2436615286011155,1.0,1,-1.0,1.0,买入
2013-01-31,2686.88,0.14754098360655737,-1.9,2.008346168610866,1.0,1,-1.0,1.0,买入
2013-02-28,2673.33,0.14516129032258066,-1.6,1.1813556772588356,1.0,1,0.0,2.0,强烈买入
2013-03-31,2495.08,0.1111111111111111,-1.6,1.1504728777715416,1.0,1,0.0,2.0,强烈买入
2013-04-30,2447.31,0.09375,-1.9,-0.31465423875246623,1.0,1,0.0,2.0,强烈买入
2013-05-31,2606.43,0.09230769230769231,-2.6,1.0221061856952651,1.0,1,0.0,2.0,强烈买入
2013-06-30,2200.64,0.015151515151515152,-2.9,-0.210825969498436,1.0,1,0.0,2.0,强烈买入
2013-07-31,2193.02,0.029850746268656716,-2.7,0.6235258788611193,1.0,1,0.0,2.0,强烈买入
2013-08-31,2313.91,0.058823529411764705,-2.3,0.7129896296114339,1.0,1,0.0,2.0,强烈买入
2013-09-30,2409.04,0.10144927536231885,-1.6,1.1022046144110018,1.0,1,0.0,2.0,强烈买入
2013-10-31,2373.72,0.08571428571428572,-1.3,0.21352004664409663,1.0,1,0.0,2.0,强烈买入
2013-11-30,2438.94,0.15492957746478872,-1.5,-0.23418759150350335,1.0,1,0.0,2.0,强烈买入
2013-12-31,2330.03,0.06944444444444445,-1.4,-0.5101623506848404,1.0,1,0.0,2.0,强烈买入
2014-01-31,2202.45,0.0410958904109589,-1.4,-1.259118874786614,1.0,1,1.0,3.0,强烈买入
2014-02-28,2178.97,0.06756756756756757,-1.6,-0.2837525640348226,1.0,1,0.0,2.0,强烈买入
2014-03-31,2146.31,0.05333333333333334,-2.0,-0.1898169987416493,1.0,1,0.0,2.0,强烈买入
2014-04-30,2158.66,0.05921052631578947,-2.3,-0.7904003695838576,1.0,1,0.0,2.0,强烈买入
2014-05-31,2156.46,0.012987012987012988,-2.0,-1.9850577535032607,1.0,1,1.0,3.0,强烈买入
2014-06-30,2165.12,0.02564102564102564,-1.4,-1.6582829384487865,1.0,1,1.0,3.0,强烈买入
2014-07-31,2350.25,0.0759493670886076,-1.1,1.1145901298732632,1.0,1,0.0,2.0,强烈买入
2014-08-31,2338.29,0.1125,-0.9,1.671301103084358,1.0,0,-1.0,0.0,不操作
2014-09-30,2450.99,0.25925925925925924,-1.2,2.211660365977117,1.0,1,-1.0,1.0,买入
2014-10-31,2508.33,0.27439024390243905,-1.8,1.3193618106587532,1.0,1,-1.0,1.0,买入
2014-11-30,2808.82,0.37349397590361444,-2.2,2.639420012871943,0.0,1,-1.0,0.0,不操作
2014-12-31,3533.71,0.5238095238095238,-2.7,3.025514433983467,0.0,1,-1.0,0.0,不操作
2015-01-31,3434.39,0.5176470588235295,-3.3,1.4781680327457452,0.0,1,-1.0,0.0,不操作
2015-02-28,3572.84,0.5813953488372093,-4.3,0.18136049293047,0.0,1,0.0,1.0,买入
2015-03-31,4051.2,0.632183908045977,-4.8,1.604625710861837,0.0,1,-1.0,0.0,不操作
2015-04-30,4749.89,0.7727272727272727,-4.6,2.135319691005849,-1.0,1,-1.0,-1.0,卖出
2015-05-31,4840.83,0.7528089887640449,-4.6,1.446749419148473,-1.0,1,-1.0,-1.0,卖出
2015-06-30,4472.998,0.7111111111111111,-4.6,1.5630630452012841,-1.0,1,-1.0,-1.0,卖出
2015-07-31,3816.699,0.5714285714285714,-4.8,0.9461497264998061,0.0,1,0.0,1.0,买入
2015-08-31,3366.536,0.4782608695652174,-5.4,-0.319720784158059,0.0,1,0.0,1.0,买入
